Year,Month,County,Registration type,Engine type,Car registration count
2016,January,Galway,New Irish Registrations,Non electric,"1,614"
2016,February,Galway,New Irish Registrations,Non electric,896
2016,March,Galway,New Irish Registrations,Non electric,848
2016,April,Galway,New Irish Registrations,Non electric,312
2016,May,Galway,New Irish Registrations,Non electric,202
2016,June,Galway,New Irish Registrations,Non electric,41
2016,July,Galway,New Irish Registrations,Non electric,"1,120"
2016,August,Galway,New Irish Registrations,Non electric,308
2016,September,Galway,New Irish Registrations,Non electric,190
2016,October,Galway,New Irish Registrations,Non electric,76
2016,November,Galway,New Irish Registrations,Non electric,20
2016,December,Galway,New Irish Registrations,Non electric,17
2016,January,Galway,New Imports,Non electric,2
2016,March,Galway,New Imports,Non electric,2
2016,April,Galway,New Imports,Non electric,1
2016,May,Galway,New Imports,Non electric,1
2016,July,Galway,New Imports,Non electric,2
2016,January,Galway,Used Imports,Non electric,257
2016,February,Galway,Used Imports,Non electric,373
2016,March,Galway,Used Imports,Non electric,352
2016,April,Galway,Used Imports,Non electric,351
2016,May,Galway,Used Imports,Non electric,380
2016,June,Galway,Used Imports,Non electric,371
2016,July,Galway,Used Imports,Non electric,322
2016,August,Galway,Used Imports,Non electric,411
2016,September,Galway,Used Imports,Non electric,482
2016,October,Galway,Used Imports,Non electric,438
2016,November,Galway,Used Imports,Non electric,563
2016,December,Galway,Used Imports,Non electric,356
2016,January,Galway,New Irish Registrations,Electric,1
2016,February,Galway,New Irish Registrations,Electric,8
2016,March,Galway,New Irish Registrations,Electric,4
2016,July,Galway,New Irish Registrations,Electric,3
2016,January,Galway,Used Imports,Electric,1
2016,March,Galway,Used Imports,Electric,2
2016,May,Galway,Used Imports,Electric,2
2016,June,Galway,Used Imports,Electric,1
2016,July,Galway,Used Imports,Electric,1
2016,August,Galway,Used Imports,Electric,2
2016,September,Galway,Used Imports,Electric,3
2016,October,Galway,Used Imports,Electric,1
2016,November,Galway,Used Imports,Electric,4
2016,December,Galway,Used Imports,Electric,1
2016,January,Galway,New Irish Registrations,Hybrid,49
2016,February,Galway,New Irish Registrations,Hybrid,16
2016,March,Galway,New Irish Registrations,Hybrid,32
2016,April,Galway,New Irish Registrations,Hybrid,10
2016,May,Galway,New Irish Registrations,Hybrid,4
2016,July,Galway,New Irish Registrations,Hybrid,36
2016,August,Galway,New Irish Registrations,Hybrid,16
2016,September,Galway,New Irish Registrations,Hybrid,6
2016,October,Galway,New Irish Registrations,Hybrid,3
2016,November,Galway,New Irish Registrations,Hybrid,3
2016,January,Galway,Used Imports,Hybrid,4
2016,February,Galway,Used Imports,Hybrid,7
2016,March,Galway,Used Imports,Hybrid,7
2016,April,Galway,Used Imports,Hybrid,5
2016,May,Galway,Used Imports,Hybrid,3
2016,June,Galway,Used Imports,Hybrid,9
2016,July,Galway,Used Imports,Hybrid,4
2016,August,Galway,Used Imports,Hybrid,5
2016,September,Galway,Used Imports,Hybrid,12
2016,October,Galway,Used Imports,Hybrid,8
2016,November,Galway,Used Imports,Hybrid,6
2016,December,Galway,Used Imports,Hybrid,6
2016,January,Leitrim,New Irish Registrations,Non electric,195
2016,February,Leitrim,New Irish Registrations,Non electric,95
2016,March,Leitrim,New Irish Registrations,Non electric,68
2016,April,Leitrim,New Irish Registrations,Non electric,45
2016,May,Leitrim,New Irish Registrations,Non electric,26
2016,June,Leitrim,New Irish Registrations,Non electric,5
2016,July,Leitrim,New Irish Registrations,Non electric,120
2016,August,Leitrim,New Irish Registrations,Non electric,34
2016,September,Leitrim,New Irish Registrations,Non electric,22
2016,October,Leitrim,New Irish Registrations,Non electric,8
2016,November,Leitrim,New Irish Registrations,Non electric,2
2016,December,Leitrim,New Irish Registrations,Non electric,1
2016,February,Leitrim,New Imports,Non electric,1
2016,March,Leitrim,New Imports,Non electric,1
2016,October,Leitrim,New Imports,Non electric,1
2016,January,Leitrim,Used Imports,Non electric,46
2016,February,Leitrim,Used Imports,Non electric,44
2016,March,Leitrim,Used Imports,Non electric,52
2016,April,Leitrim,Used Imports,Non electric,78
2016,May,Leitrim,Used Imports,Non electric,71
2016,June,Leitrim,Used Imports,Non electric,57
2016,July,Leitrim,Used Imports,Non electric,64
2016,August,Leitrim,Used Imports,Non electric,83
2016,September,Leitrim,Used Imports,Non electric,81
2016,October,Leitrim,Used Imports,Non electric,76
2016,November,Leitrim,Used Imports,Non electric,79
2016,December,Leitrim,Used Imports,Non electric,44
2016,July,Leitrim,New Irish Registrations,Electric,1
2016,October,Leitrim,New Irish Registrations,Electric,1
2016,November,Leitrim,Used Imports,Electric,1
2016,January,Leitrim,New Irish Registrations,Hybrid,2
2016,February,Leitrim,New Irish Registrations,Hybrid,1
2016,March,Leitrim,New Irish Registrations,Hybrid,1
2016,May,Leitrim,New Irish Registrations,Hybrid,1
2016,June,Leitrim,New Irish Registrations,Hybrid,1
2016,July,Leitrim,New Irish Registrations,Hybrid,1
2016,August,Leitrim,New Irish Registrations,Hybrid,1
2016,January,Mayo,New Irish Registrations,Non electric,789
2016,February,Mayo,New Irish Registrations,Non electric,426
2016,March,Mayo,New Irish Registrations,Non electric,439
2016,April,Mayo,New Irish Registrations,Non electric,175
2016,May,Mayo,New Irish Registrations,Non electric,91
2016,June,Mayo,New Irish Registrations,Non electric,26
2016,July,Mayo,New Irish Registrations,Non electric,535
2016,August,Mayo,New Irish Registrations,Non electric,140
2016,September,Mayo,New Irish Registrations,Non electric,90
2016,October,Mayo,New Irish Registrations,Non electric,39
2016,November,Mayo,New Irish Registrations,Non electric,7
2016,December,Mayo,New Irish Registrations,Non electric,4
2016,January,Mayo,New Imports,Non electric,1
2016,March,Mayo,New Imports,Non electric,1
2016,August,Mayo,New Imports,Non electric,1
2016,January,Mayo,Used Imports,Non electric,167
2016,February,Mayo,Used Imports,Non electric,196
2016,March,Mayo,Used Imports,Non electric,196
2016,April,Mayo,Used Imports,Non electric,227
2016,May,Mayo,Used Imports,Non electric,198
2016,June,Mayo,Used Imports,Non electric,210
2016,July,Mayo,Used Imports,Non electric,187
2016,August,Mayo,Used Imports,Non electric,225
2016,September,Mayo,Used Imports,Non electric,249
2016,October,Mayo,Used Imports,Non electric,259
2016,November,Mayo,Used Imports,Non electric,266
2016,December,Mayo,Used Imports,Non electric,177
2016,February,Mayo,New Irish Registrations,Electric,1
2016,March,Mayo,New Irish Registrations,Electric,1
2016,May,Mayo,New Irish Registrations,Electric,1
2016,July,Mayo,New Irish Registrations,Electric,1
2016,November,Mayo,New Irish Registrations,Electric,1
2016,April,Mayo,Used Imports,Electric,1
2016,September,Mayo,Used Imports,Electric,1
2016,January,Mayo,New Irish Registrations,Hybrid,4
2016,February,Mayo,New Irish Registrations,Hybrid,4
2016,March,Mayo,New Irish Registrations,Hybrid,11
2016,April,Mayo,New Irish Registrations,Hybrid,5
2016,May,Mayo,New Irish Registrations,Hybrid,2
2016,July,Mayo,New Irish Registrations,Hybrid,16
2016,August,Mayo,New Irish Registrations,Hybrid,1
2016,November,Mayo,New Irish Registrations,Hybrid,3
2016,December,Mayo,New Irish Registrations,Hybrid,1
2016,January,Mayo,Used Imports,Hybrid,1
2016,March,Mayo,Used Imports,Hybrid,4
2016,April,Mayo,Used Imports,Hybrid,1
2016,May,Mayo,Used Imports,Hybrid,1
2016,August,Mayo,Used Imports,Hybrid,1
2016,October,Mayo,Used Imports,Hybrid,2
2016,November,Mayo,Used Imports,Hybrid,5
2016,January,Roscommon,New Irish Registrations,Non electric,419
2016,February,Roscommon,New Irish Registrations,Non electric,246
2016,March,Roscommon,New Irish Registrations,Non electric,198
2016,April,Roscommon,New Irish Registrations,Non electric,81
2016,May,Roscommon,New Irish Registrations,Non electric,49
2016,June,Roscommon,New Irish Registrations,Non electric,15
2016,July,Roscommon,New Irish Registrations,Non electric,247
2016,August,Roscommon,New Irish Registrations,Non electric,78
2016,September,Roscommon,New Irish Registrations,Non electric,41
2016,October,Roscommon,New Irish Registrations,Non electric,16
2016,November,Roscommon,New Irish Registrations,Non electric,7
2016,December,Roscommon,New Irish Registrations,Non electric,2
2016,January,Roscommon,New Imports,Non electric,2
2016,January,Roscommon,Used Imports,Non electric,71
2016,February,Roscommon,Used Imports,Non electric,71
2016,March,Roscommon,Used Imports,Non electric,103
2016,April,Roscommon,Used Imports,Non electric,99
2016,May,Roscommon,Used Imports,Non electric,99
2016,June,Roscommon,Used Imports,Non electric,95
2016,July,Roscommon,Used Imports,Non electric,89
2016,August,Roscommon,Used Imports,Non electric,115
2016,September,Roscommon,Used Imports,Non electric,116
2016,October,Roscommon,Used Imports,Non electric,123
2016,November,Roscommon,Used Imports,Non electric,129
2016,December,Roscommon,Used Imports,Non electric,87
2016,February,Roscommon,New Irish Registrations,Electric,1
2016,April,Roscommon,Used Imports,Electric,1
2016,May,Roscommon,Used Imports,Electric,1
2016,October,Roscommon,Used Imports,Electric,1
2016,January,Roscommon,New Irish Registrations,Hybrid,3
2016,February,Roscommon,New Irish Registrations,Hybrid,4
2016,March,Roscommon,New Irish Registrations,Hybrid,2
2016,April,Roscommon,New Irish Registrations,Hybrid,2
2016,May,Roscommon,New Irish Registrations,Hybrid,1
2016,July,Roscommon,New Irish Registrations,Hybrid,1
2016,August,Roscommon,New Irish Registrations,Hybrid,3
2016,October,Roscommon,New Irish Registrations,Hybrid,1
2016,November,Roscommon,New Irish Registrations,Hybrid,1
2016,January,Roscommon,Used Imports,Hybrid,3
2016,March,Roscommon,Used Imports,Hybrid,1
2016,June,Roscommon,Used Imports,Hybrid,1
2016,August,Roscommon,Used Imports,Hybrid,1
2016,January,Sligo,New Irish Registrations,Non electric,409
2016,February,Sligo,New Irish Registrations,Non electric,220
2016,March,Sligo,New Irish Registrations,Non electric,151
2016,April,Sligo,New Irish Registrations,Non electric,90
2016,May,Sligo,New Irish Registrations,Non electric,47
2016,June,Sligo,New Irish Registrations,Non electric,11
2016,July,Sligo,New Irish Registrations,Non electric,231
2016,August,Sligo,New Irish Registrations,Non electric,65
2016,September,Sligo,New Irish Registrations,Non electric,47
2016,October,Sligo,New Irish Registrations,Non electric,9
2016,November,Sligo,New Irish Registrations,Non electric,3
2016,December,Sligo,New Irish Registrations,Non electric,1
2016,January,Sligo,Used Imports,Non electric,70
2016,February,Sligo,Used Imports,Non electric,84
2016,March,Sligo,Used Imports,Non electric,87
2016,April,Sligo,Used Imports,Non electric,93
2016,May,Sligo,Used Imports,Non electric,96
2016,June,Sligo,Used Imports,Non electric,88
2016,July,Sligo,Used Imports,Non electric,97
2016,August,Sligo,Used Imports,Non electric,126
2016,September,Sligo,Used Imports,Non electric,116
2016,October,Sligo,Used Imports,Non electric,121
2016,November,Sligo,Used Imports,Non electric,129
2016,December,Sligo,Used Imports,Non electric,82
2016,January,Sligo,New Irish Registrations,Electric,1
2016,February,Sligo,New Irish Registrations,Electric,2
2016,March,Sligo,New Irish Registrations,Electric,1
2016,October,Sligo,New Irish Registrations,Electric,1
2016,May,Sligo,Used Imports,Electric,1
2016,January,Sligo,New Irish Registrations,Hybrid,5
2016,February,Sligo,New Irish Registrations,Hybrid,2
2016,March,Sligo,New Irish Registrations,Hybrid,5
2016,April,Sligo,New Irish Registrations,Hybrid,2
2016,May,Sligo,New Irish Registrations,Hybrid,3
2016,June,Sligo,New Irish Registrations,Hybrid,2
2016,July,Sligo,New Irish Registrations,Hybrid,4
2016,August,Sligo,New Irish Registrations,Hybrid,5
2016,January,Sligo,Used Imports,Hybrid,1
2016,February,Sligo,Used Imports,Hybrid,1
2016,March,Sligo,Used Imports,Hybrid,1
2016,July,Sligo,Used Imports,Hybrid,1
2016,September,Sligo,Used Imports,Hybrid,1
2016,October,Sligo,Used Imports,Hybrid,2
2016,November,Sligo,Used Imports,Hybrid,1
2016,January,Carlow,New Irish Registrations,Non electric,543
2016,February,Carlow,New Irish Registrations,Non electric,283
2016,March,Carlow,New Irish Registrations,Non electric,243
2016,April,Carlow,New Irish Registrations,Non electric,88
2016,May,Carlow,New Irish Registrations,Non electric,45
2016,June,Carlow,New Irish Registrations,Non electric,7
2016,July,Carlow,New Irish Registrations,Non electric,383
2016,August,Carlow,New Irish Registrations,Non electric,72
2016,September,Carlow,New Irish Registrations,Non electric,48
2016,October,Carlow,New Irish Registrations,Non electric,20
2016,November,Carlow,New Irish Registrations,Non electric,4
2016,December,Carlow,New Irish Registrations,Non electric,5
2016,February,Carlow,New Imports,Non electric,1
2016,April,Carlow,New Imports,Non electric,2
2016,January,Carlow,Used Imports,Non electric,34
2016,February,Carlow,Used Imports,Non electric,51
2016,March,Carlow,Used Imports,Non electric,33
2016,April,Carlow,Used Imports,Non electric,54
2016,May,Carlow,Used Imports,Non electric,42
2016,June,Carlow,Used Imports,Non electric,50
2016,July,Carlow,Used Imports,Non electric,53
2016,August,Carlow,Used Imports,Non electric,60
2016,September,Carlow,Used Imports,Non electric,58
2016,October,Carlow,Used Imports,Non electric,69
2016,November,Carlow,Used Imports,Non electric,82
2016,December,Carlow,Used Imports,Non electric,43
2016,April,Carlow,New Irish Registrations,Electric,1
2016,August,Carlow,New Irish Registrations,Electric,1
2016,November,Carlow,Used Imports,Electric,1
2016,January,Carlow,New Irish Registrations,Hybrid,2
2016,February,Carlow,New Irish Registrations,Hybrid,1
2016,March,Carlow,New Irish Registrations,Hybrid,3
2016,April,Carlow,New Irish Registrations,Hybrid,1
2016,June,Carlow,New Irish Registrations,Hybrid,1
2016,July,Carlow,New Irish Registrations,Hybrid,6
2016,November,Carlow,New Irish Registrations,Hybrid,1
2016,February,Carlow,Used Imports,Hybrid,2
2016,April,Carlow,Used Imports,Hybrid,1
2016,May,Carlow,Used Imports,Hybrid,1
2016,June,Carlow,Used Imports,Hybrid,2
2016,July,Carlow,Used Imports,Hybrid,1
2016,November,Carlow,Used Imports,Hybrid,1
2016,February,Dublin,New Irish Registrations,Non electric,2
2016,April,Dublin,New Irish Registrations,Non electric,1
2016,May,Dublin,New Irish Registrations,Non electric,1
2016,June,Dublin,New Irish Registrations,Non electric,2
2016,July,Dublin,New Irish Registrations,Non electric,1
2016,November,Dublin,New Irish Registrations,Non electric,1
2016,December,Dublin,New Irish Registrations,Non electric,312
2016,January,Dublin,New Imports,Non electric,"12,973"
2016,February,Dublin,New Imports,Non electric,"7,636"
2016,March,Dublin,New Imports,Non electric,"8,725"
2016,April,Dublin,New Imports,Non electric,"4,593"
2016,May,Dublin,New Imports,Non electric,"3,163"
2016,June,Dublin,New Imports,Non electric,702
2016,July,Dublin,New Imports,Non electric,"12,040"
2016,August,Dublin,New Imports,Non electric,"2,954"
2016,September,Dublin,New Imports,Non electric,1
2016,January,Dublin,Used Imports,Non electric,"1,195"
2016,February,Dublin,Used Imports,Non electric,"1,349"
2016,March,Dublin,Used Imports,Non electric,"1,327"
2016,April,Dublin,Used Imports,Non electric,"1,413"
2016,May,Dublin,Used Imports,Non electric,"1,397"
2016,June,Dublin,Used Imports,Non electric,"1,326"
2016,July,Dublin,Used Imports,Non electric,"1,404"
2016,August,Dublin,Used Imports,Non electric,"1,565"
2016,September,Dublin,Used Imports,Non electric,"1,742"
2016,October,Dublin,Used Imports,Non electric,"1,671"
2016,November,Dublin,Used Imports,Non electric,"1,913"
2016,December,Dublin,Used Imports,Non electric,"1,458"
2016,January,Dublin,New Irish Registrations,Electric,19
2016,February,Dublin,New Irish Registrations,Electric,47
2016,March,Dublin,New Irish Registrations,Electric,27
2016,April,Dublin,New Irish Registrations,Electric,8
2016,May,Dublin,New Irish Registrations,Electric,5
2016,June,Dublin,New Irish Registrations,Electric,1
2016,July,Dublin,New Irish Registrations,Electric,17
2016,August,Dublin,New Irish Registrations,Electric,5
2016,September,Dublin,New Irish Registrations,Electric,3
2016,October,Dublin,New Irish Registrations,Electric,3
2016,November,Dublin,New Irish Registrations,Electric,5
2016,January,Dublin,New Imports,Electric,2
2016,February,Dublin,New Imports,Electric,1
2016,May,Dublin,New Imports,Electric,1
2016,June,Dublin,New Imports,Electric,1
2016,October,Dublin,New Imports,Electric,1
2016,January,Dublin,Used Imports,Electric,1
2016,February,Dublin,Used Imports,Electric,2
2016,March,Dublin,Used Imports,Electric,4
2016,April,Dublin,Used Imports,Electric,6
2016,May,Dublin,Used Imports,Electric,4
2016,June,Dublin,Used Imports,Electric,8
2016,July,Dublin,Used Imports,Electric,10
2016,August,Dublin,Used Imports,Electric,3
2016,September,Dublin,Used Imports,Electric,13
2016,October,Dublin,Used Imports,Electric,9
2016,November,Dublin,Used Imports,Electric,8
2016,December,Dublin,Used Imports,Electric,6
2016,January,Dublin,New Irish Registrations,Hybrid,300
2016,February,Dublin,New Irish Registrations,Hybrid,160
2016,March,Dublin,New Irish Registrations,Hybrid,223
2016,April,Dublin,New Irish Registrations,Hybrid,140
2016,May,Dublin,New Irish Registrations,Hybrid,72
2016,June,Dublin,New Irish Registrations,Hybrid,26
2016,July,Dublin,New Irish Registrations,Hybrid,352
2016,August,Dublin,New Irish Registrations,Hybrid,93
2016,September,Dublin,New Irish Registrations,Hybrid,60
2016,October,Dublin,New Irish Registrations,Hybrid,28
2016,November,Dublin,New Irish Registrations,Hybrid,23
2016,December,Dublin,New Irish Registrations,Hybrid,3
2016,January,Dublin,New Imports,Hybrid,1
2016,January,Dublin,Used Imports,Hybrid,67
2016,February,Dublin,Used Imports,Hybrid,52
2016,March,Dublin,Used Imports,Hybrid,66
2016,April,Dublin,Used Imports,Hybrid,74
2016,May,Dublin,Used Imports,Hybrid,96
2016,June,Dublin,Used Imports,Hybrid,77
2016,July,Dublin,Used Imports,Hybrid,78
2016,August,Dublin,Used Imports,Hybrid,82
2016,September,Dublin,Used Imports,Hybrid,81
2016,October,Dublin,Used Imports,Hybrid,99
2016,November,Dublin,Used Imports,Hybrid,115
2016,December,Dublin,Used Imports,Hybrid,79
2016,January,Kildare,New Irish Registrations,Non electric,"1,838"
2016,February,Kildare,New Irish Registrations,Non electric,897
2016,March,Kildare,New Irish Registrations,Non electric,657
2016,April,Kildare,New Irish Registrations,Non electric,390
2016,May,Kildare,New Irish Registrations,Non electric,225
2016,June,Kildare,New Irish Registrations,Non electric,60
2016,July,Kildare,New Irish Registrations,Non electric,"1,226"
2016,August,Kildare,New Irish Registrations,Non electric,311
2016,September,Kildare,New Irish Registrations,Non electric,218
2016,October,Kildare,New Irish Registrations,Non electric,82
2016,November,Kildare,New Irish Registrations,Non electric,22
2016,December,Kildare,New Irish Registrations,Non electric,8
2016,May,Kildare,New Imports,Non electric,1
2016,July,Kildare,New Imports,Non electric,1
2016,January,Kildare,Used Imports,Non electric,192
2016,February,Kildare,Used Imports,Non electric,212
2016,March,Kildare,Used Imports,Non electric,249
2016,April,Kildare,Used Imports,Non electric,231
2016,May,Kildare,Used Imports,Non electric,218
2016,June,Kildare,Used Imports,Non electric,192
2016,July,Kildare,Used Imports,Non electric,217
2016,August,Kildare,Used Imports,Non electric,264
2016,September,Kildare,Used Imports,Non electric,268
2016,October,Kildare,Used Imports,Non electric,305
2016,November,Kildare,Used Imports,Non electric,365
2016,December,Kildare,Used Imports,Non electric,209
2016,January,Kildare,New Irish Registrations,Electric,1
2016,February,Kildare,New Irish Registrations,Electric,10
2016,March,Kildare,New Irish Registrations,Electric,1
2016,April,Kildare,New Irish Registrations,Electric,1
2016,May,Kildare,New Irish Registrations,Electric,2
2016,July,Kildare,New Irish Registrations,Electric,3
2016,August,Kildare,New Irish Registrations,Electric,1
2016,September,Kildare,New Irish Registrations,Electric,1
2016,November,Kildare,New Irish Registrations,Electric,1
2016,January,Kildare,Used Imports,Electric,1
2016,March,Kildare,Used Imports,Electric,3
2016,April,Kildare,Used Imports,Electric,3
2016,May,Kildare,Used Imports,Electric,2
2016,June,Kildare,Used Imports,Electric,1
2016,July,Kildare,Used Imports,Electric,4
2016,August,Kildare,Used Imports,Electric,5
2016,September,Kildare,Used Imports,Electric,2
2016,October,Kildare,Used Imports,Electric,3
2016,November,Kildare,Used Imports,Electric,3
2016,December,Kildare,Used Imports,Electric,6
2016,January,Kildare,New Irish Registrations,Hybrid,20
2016,February,Kildare,New Irish Registrations,Hybrid,7
2016,March,Kildare,New Irish Registrations,Hybrid,16
2016,April,Kildare,New Irish Registrations,Hybrid,8
2016,May,Kildare,New Irish Registrations,Hybrid,2
2016,June,Kildare,New Irish Registrations,Hybrid,4
2016,July,Kildare,New Irish Registrations,Hybrid,22
2016,August,Kildare,New Irish Registrations,Hybrid,6
2016,October,Kildare,New Irish Registrations,Hybrid,2
2016,November,Kildare,New Irish Registrations,Hybrid,2
2016,January,Kildare,Used Imports,Hybrid,3
2016,February,Kildare,Used Imports,Hybrid,3
2016,April,Kildare,Used Imports,Hybrid,3
2016,May,Kildare,Used Imports,Hybrid,1
2016,June,Kildare,Used Imports,Hybrid,6
2016,July,Kildare,Used Imports,Hybrid,8
2016,August,Kildare,Used Imports,Hybrid,7
2016,September,Kildare,Used Imports,Hybrid,5
2016,October,Kildare,Used Imports,Hybrid,6
2016,November,Kildare,Used Imports,Hybrid,3
2016,December,Kildare,Used Imports,Hybrid,9
2016,January,Kilkenny,New Irish Registrations,Non electric,909
2016,February,Kilkenny,New Irish Registrations,Non electric,389
2016,March,Kilkenny,New Irish Registrations,Non electric,395
2016,April,Kilkenny,New Irish Registrations,Non electric,177
2016,May,Kilkenny,New Irish Registrations,Non electric,80
2016,June,Kilkenny,New Irish Registrations,Non electric,32
2016,July,Kilkenny,New Irish Registrations,Non electric,542
2016,August,Kilkenny,New Irish Registrations,Non electric,137
2016,September,Kilkenny,New Irish Registrations,Non electric,82
2016,October,Kilkenny,New Irish Registrations,Non electric,27
2016,November,Kilkenny,New Irish Registrations,Non electric,8
2016,December,Kilkenny,New Irish Registrations,Non electric,2
2016,March,Kilkenny,New Imports,Non electric,1
2016,April,Kilkenny,New Imports,Non electric,3
2016,July,Kilkenny,New Imports,Non electric,1
2016,August,Kilkenny,New Imports,Non electric,2
2016,January,Kilkenny,Used Imports,Non electric,63
2016,February,Kilkenny,Used Imports,Non electric,79
2016,March,Kilkenny,Used Imports,Non electric,81
2016,April,Kilkenny,Used Imports,Non electric,76
2016,May,Kilkenny,Used Imports,Non electric,86
2016,June,Kilkenny,Used Imports,Non electric,95
2016,July,Kilkenny,Used Imports,Non electric,84
